scope,asn,hege,nb_peers
2553,3356,0.1272727272727273,39
2553,11096,1.0,39
2553,6939,0.7272727272727273,39
2553,1299,0.024242424242424242,39
2274,6939,1.0,39
2274,-31,0.030303030303030304,39
50,293,1.0,39
50,291,0.9545454545454546,39
50,6939,0.696969696969697,39
89,2914,0.12121212121212122,39
89,1299,0.06060606060606061,39
89,3356,0.7272727272727273,39
89,6223,0.7575757575757576,39
89,668,0.15151515151515152,39
89,209,0.3939393939393939,39
1451,3356,0.8787878787878788,39
1451,3561,0.5757575757575758,39
1451,209,0.15151515151515152,39
1451,6453,0.030303030303030304,39
1451,1299,0.030303030303030304,39
37,2914,0.30303030303030304,39
37,668,0.2727272727272727,39
37,3356,0.5151515151515151,39
37,6223,0.5454545454545454,39
37,209,0.36363636363636365,39
37,6939,0.06060606060606061,39
2675,6461,0.6363636363636364,39
2675,15290,0.5151515151515151,39
2675,6453,0.030303030303030304,39
2675,1299,0.21212121212121213,39
2015,6939,0.6363636363636364,39
2015,-31,0.030303030303030304,39
2015,12129,0.36363636363636365,39
2015,1299,0.030303030303030304,39
1886,174,1.0,39
1886,1299,0.06060606060606061,39
1471,174,0.06060606060606061,39
1471,3356,1.0,39
1471,209,1.0,39
1471,6830,0.030303030303030304,39
1471,1299,0.15151515151515152,39
