scope,asn,hege,nb_peers
2519,3356,0.18166666666666667,300
2519,3549,0.18166666666666667,300
2519,1299,0.17416666666666666,300
2519,174,0.14791666666666667,300
2519,2497,0.00625,300
55352,3356,0.03319502074688797,301
55352,6453,0.6418788815664579,301
55352,4755,0.6439535703631384,301
55352,45769,0.18227622999407234,301
55352,1299,0.026970954356846474,301
55352,9498,0.22026279391424622,301
55352,64049,0.08488934993084371,301
55352,55836,0.03924619640387275,301
55352,17439,0.08903872752420472,301
4787,2914,0.34598384392623077,303
4787,38158,0.9730224051211706,303
4787,1299,0.19684499314128942,303
4787,6453,0.10125950866691608,303
4787,7473,0.0027434842249657062,303
44444,1299,0.035269709543568464,301
44444,3356,0.40560165975103735,301
44444,174,0.06846473029045644,301
44444,2914,0.03699861687413555,301
20161,1299,0.11639118457300275,302
20161,6327,0.3538911845730027,302
20161,6461,0.240703414232826,302
20161,577,0.21894749635391347,302
20161,174,0.02066115702479339,302
20161,3356,0.01652892561983471,302
27747,6762,0.7610457188969585,302
27747,12956,0.07334710743801653,302
27747,10834,0.06921487603305786,302
27747,3356,0.3738062442607897,302
27747,3549,0.14628099173553719,302
27747,174,0.03305785123966942,302
27747,1299,0.13980716253443526,302
136190,1299,0.10625,300
136190,4134,1.0,300
136190,174,0.007291666666666667,300
136190,3356,0.05,300
14259,1299,0.0375,300
14259,12956,0.25317460317460316,300
14259,3356,0.0951388888888889,300
14259,174,0.15708333333333335,300
14259,262589,0.25166666666666665,300
14259,52280,0.01173076923076923,300
55592,3356,0.05578512396694215,302
55592,4766,1.0,302
55592,174,0.11914600550964187,302
55592,6939,0.09504132231404959,302
1916,2914,0.24066390041493776,301
1916,174,0.5684647302904564,301
1916,1299,0.04564315352697095,301
