scope,asn,hege,nb_peers
3223,2914,0.08,29
3223,1299,0.54,29
9770,3786,1.0,29
9770,2914,0.36,29
9770,6939,0.04,29
9770,-31,0.04,29
9770,3356,0.16,29
9770,3257,0.04,29
4795,9002,0.37200000000000005,29
4795,4761,0.76,29
4795,6453,0.008,29
4795,1299,0.43333333333333335,29
4795,3356,0.04,29
4795,3257,0.02,29
136958,4837,1.0,29
136958,17816,1.0,29
136958,3356,0.32,29
136958,6453,0.04,29
136958,6939,0.04,29
136958,1299,0.08,29
9341,3491,0.24,29
9341,3356,0.72,29
9341,6461,0.04,29
17995,1299,0.32,29
17995,137366,0.84,29
17995,2914,0.24,29
17995,7473,0.12,29
17995,174,0.04,29
17995,6939,0.04,29
27775,174,0.38,29
27775,6939,0.28,29
27775,23520,0.3,29
27775,1299,0.24,29
27775,2914,0.36,29
27775,6830,0.08,29
45069,-31,0.16,29
45069,58453,1.0,29
45069,9808,1.0,29
45069,9394,1.0,29
45069,1299,0.28,29
45069,3356,0.2,29
42910,174,0.36,29
42910,6762,0.16,29
42910,-26,0.08,29
42910,50673,0.12,29
42910,9121,0.24,29
42910,1299,0.12,29
38370,-31,0.12,29
38370,58453,0.9966666666666666,29
38370,9808,0.9966666666666666,29
38370,1299,0.1,29
38370,3356,0.16,29
38370,3257,0.04,29
